Date,DailyDeaths
2021-01-05,60
2021-01-06,62
2021-01-07,62
2021-01-08,63
2021-01-09,60
2021-01-10,64
2021-01-11,62
2021-01-12,60
2021-01-13,59
2021-01-14,57
2021-01-15,56
2021-01-16,55
2021-01-17,51
2021-01-18,50
2021-01-19,49
2021-01-20,47
2021-01-21,45
2021-01-22,43
2021-01-23,44
2021-01-24,43
2021-01-25,43
2021-01-26,44
2021-01-27,42
2021-01-28,43
2021-01-29,42
2021-01-30,39
2021-01-31,38
2021-02-01,37
2021-02-02,34
2021-02-03,33
2021-02-04,32
2021-02-05,33
2021-02-06,32
2021-02-07,30
2021-02-08,28
2021-02-09,27
2021-02-10,26
2021-02-11,24
2021-02-12,20
2021-02-13,18
2021-02-14,17
2021-02-15,17
2021-02-16,16
2021-02-17,15
2021-02-18,14
2021-02-19,13
2021-02-20,12
2021-02-21,12
2021-02-22,12
2021-02-23,11
2021-02-24,10
2021-02-25,9
2021-02-26,9
2021-02-27,8
2021-02-28,8
2021-03-01,6
2021-03-02,6
2021-03-03,6
2021-03-04,6
2021-03-05,6
2021-03-06,6
2021-03-07,5
2021-03-08,6
2021-03-09,5
2021-03-10,4
2021-03-11,5
2021-03-12,4
2021-03-13,4
2021-03-14,5
2021-03-15,5
2021-03-16,5
2021-03-17,4
2021-03-18,4
2021-03-19,3
2021-03-20,3
2021-03-21,2
2021-03-22,2
2021-03-23,2
2021-03-24,2
2021-03-25,2
2021-03-26,2
2021-03-27,2
2021-03-28,2
2021-03-29,2
2021-03-30,2
2021-03-31,2
2021-04-01,2
2021-04-02,2
2021-04-03,1
2021-04-04,1
2021-04-05,1
2021-04-06,1
2021-04-07,1
2021-04-08,1
2021-04-09,1
2021-04-10,1
2021-04-11,1
2021-04-12,1
2021-04-13,1
2021-04-14,1
2021-04-15,1
2021-04-16,1
2021-04-17,1
2021-04-18,1
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,0
2021-05-08,0
2021-05-09,0
2021-05-10,0
2021-05-11,0
2021-05-12,1
2021-05-13,1
2021-05-14,1
2021-05-15,1
2021-05-16,1
2021-05-17,1
2021-05-18,1
2021-05-19,1
2021-05-20,1
2021-05-21,1
2021-05-22,1
2021-05-23,1
2021-05-24,1
2021-05-25,1
2021-05-26,1
2021-05-27,1
2021-05-28,1
2021-05-29,1
2021-05-30,1
2021-05-31,1
2021-06-01,2
2021-06-02,2
2021-06-03,2
2021-06-04,2
2021-06-05,2
2021-06-06,2
2021-06-07,2
2021-06-08,2
2021-06-09,2
2021-06-10,2
2021-06-11,2
2021-06-12,3
2021-06-13,3
2021-06-14,3
2021-06-15,3
2021-06-16,3
2021-06-17,3
2021-06-18,3
2021-06-19,2
2021-06-20,3
2021-06-21,3
2021-06-22,4
2021-06-23,4
2021-06-24,6
2021-06-25,6
2021-06-26,6
2021-06-27,6
2021-06-28,6
2021-06-29,4
2021-06-30,4
