Date,NumberVaccinated
2021-01-05,3551
2021-01-06,7881
2021-01-07,12684
2021-01-08,17791
2021-01-09,23353
2021-01-10,29089
2021-01-11,35028
2021-01-12,41518
2021-01-13,48639
2021-01-14,56181
2021-01-15,63116
2021-01-16,68846
2021-01-17,74098
2021-01-18,79056
2021-01-19,82897
2021-01-20,86140
2021-01-21,89042
2021-01-22,92144
2021-01-23,95249
2021-01-24,98356
2021-01-25,101446
2021-01-26,104520
2021-01-27,107873
2021-01-28,111679
2021-01-29,116486
2021-01-30,122981
2021-01-31,130440
2021-02-01,138254
2021-02-02,147569
2021-02-03,157895
2021-02-04,169175
2021-02-05,181399
2021-02-06,194402
2021-02-07,209493
2021-02-08,224860
2021-02-09,241198
2021-02-10,258921
2021-02-11,277971
2021-02-12,297976
2021-02-13,319004
2021-02-14,340891
2021-02-15,363342
2021-02-16,386364
2021-02-17,409369
2021-02-18,432873
2021-02-19,456945
2021-02-20,481573
2021-02-21,506248
2021-02-22,530696
2021-02-23,556534
2021-02-24,584126
2021-02-25,613735
2021-02-26,646495
2021-02-27,682417
2021-02-28,722103
2021-03-01,764470
2021-03-02,810462
2021-03-03,859373
2021-03-04,911164
2021-03-05,964775
2021-03-06,1019725
2021-03-07,1074809
2021-03-08,1130456
2021-03-09,1182419
2021-03-10,1230999
2021-03-11,1275697
2021-03-12,1316339
2021-03-13,1352825
2021-03-14,1384543
2021-03-15,1410646
2021-03-16,1434953
2021-03-17,1458076
2021-03-18,1480535
2021-03-19,1502420
2021-03-20,1524364
2021-03-21,1546877
2021-03-22,1569589
2021-03-23,1592254
2021-03-24,1615389
2021-03-25,1639199
2021-03-26,1664286
2021-03-27,1689852
2021-03-28,1714816
2021-03-29,1739787
2021-03-30,1764050
2021-03-31,1787510
2021-04-01,1809364
2021-04-02,1830103
2021-04-03,1850332
2021-04-04,1871809
2021-04-05,1894570
2021-04-06,1919942
2021-04-07,1947855
2021-04-08,1978745
2021-04-09,2011653
2021-04-10,2046582
2021-04-11,2084822
2021-04-12,2123195
2021-04-13,2161081
2021-04-14,2198238
2021-04-15,2234185
2021-04-16,2269323
2021-04-17,2302239
2021-04-18,2335182
2021-04-19,2366478
2021-04-20,2396460
2021-04-21,2425291
2021-04-22,2453975
2021-04-23,2480845
2021-04-24,2504868
2021-04-25,2524181
2021-04-26,2541023
2021-04-27,2554560
2021-04-28,2565108
2021-04-29,2572710
2021-04-30,2579061
2021-05-01,2586187
2021-05-02,2596236
2021-05-03,2605440
2021-05-04,2614958
2021-05-05,2623100
2021-05-06,2628784
2021-05-07,2630686
2021-05-08,2627997
2021-05-09,2621566
2021-05-10,2610834
2021-05-11,2598846
2021-05-12,2586049
2021-05-13,2572689
2021-05-14,2559914
2021-05-15,2548415
2021-05-16,2538176
2021-05-17,2533884
2021-05-18,2532516
2021-05-19,2534228
2021-05-20,2539231
2021-05-21,2548043
2021-05-22,2562013
2021-05-23,2575776
2021-05-24,2590777
2021-05-25,2604587
2021-05-26,2617583
2021-05-27,2629688
2021-05-28,2640210
2021-05-29,2647736
2021-05-30,2654450
2021-05-31,2659557
2021-06-01,2664800
2021-06-02,2670396
2021-06-03,2676162
2021-06-04,2682130
2021-06-05,2690234
2021-06-06,2699512
2021-06-07,2710961
2021-06-08,2724000
2021-06-09,2738877
2021-06-10,2755103
2021-06-11,2772187
2021-06-12,2788621
2021-06-13,2804623
2021-06-14,2818125
2021-06-15,2829115
2021-06-16,2836704
2021-06-17,2841002
2021-06-18,2843123
2021-06-19,2841879
2021-06-20,2838844
2021-06-21,2835666
2021-06-22,2832605
2021-06-23,2829964
2021-06-24,2827843
2021-06-25,2826237
2021-06-26,2825032
2021-06-27,2825496
2021-06-28,2826585
2021-06-29,2827779
2021-06-30,2827972
